Client,Street,City,State,ZIP
B07446,One Angwin Ave   ,Angwin,CA,94508-9797
B07471,4601 College Boulevard Suite 350  ,Leawood,KS,66211
B07507,   ,Leesburg,FL,
B04581,"200 West Washington Street, 7th Floor   ",Phoenix,AZ,85003
B07559,11757 Katy Freeway Suite 830  ,Houston,TX,77079
B07561,1001 S. Dairy Ashford Suite 450  ,Houston,TX,77077
B07564,   ,Houston,TX,
B04230,2500 North Frontage Road   ,Darien,IL,60561
B07595,8588 Katy Freeway #441  ,Houston,TX,77024
B07597,10705 Briar Forest Dr   ,Houston,TX,77042
B04253,337 SE 192 Ave   ,Portland,OR,97233
B07601,20445 TX-249 Suite 350  ,Houston,TX,77070
B07602,5925 South 56th Street Suite 2  ,Lincoln,NE,68516
B07603,55 W. Wacker Drive 4th Floor  ,Chicago,IL,60601
B07604,9526 Irving Park Road   ,Schiller Park,IL,60176
B07610,1301 Fannin St. Suite 1300  ,Houston,TX,77002
B07611,555 Park Dr.   ,Owatonna,MN,55060
B07612,11777 San Vicente Boulevard Suite 550  ,Los Angeles,CA,90049
B05077,3940 S. Teller Street   ,Lakewood,CO,80235
B07614,500 S. Arthur Ave. Suite 600  ,Louisville,TX,80027
B07617,400 W. 15th Street Suite 300  ,Austin,TX,78701
B07620,"60 S Market Street, Suite 1120   ",San Jose,CA,95113
B06786,3161 Michaelson Drive Suite 1675  ,Irvine,CA,92612
B05299,1 Riverway Suite 2400  ,Houston,TX,77056
B07623,PO Box 31936   ,Seattle,WA,98103
B06805,125 S. Avondale Blvd Suite 115  ,Avondale,AZ,85323
B07624,522 Cambridge Drive   ,Benicia,CA,94510
B07627,6210 36th Ave NE   ,Seattle,WA,98115
B04661,Department of Planning 417 E. Fayette Street 8th Floor ,Baltimore,MD,21202
B04670,45 Lyon Terrace   ,Bridgeport,CT,06604
B04671,165 Church Street   ,New Haven,CT,06510
B04681,3 City Hall   ,Lynn,MA,01901
B07463,PO 200350   ,San Antonio,TX,78220
B07464,264 Stapleton Road PO Box 739  ,Cornelia,GA,30531
B07516,"40 N Central Avenue, Suite 1400   ",Phoenix,AZ,85004
B07495,601 S. Figueroa Street Suite 2150  ,Los Angeles,CA,
B07495,"100 Bayview Circle, Suite 2600   ",Newport Beach,CA,92660
B07519,2001 College Drive #90   ,Lake Havasu City,AZ,86403
B07530,"3033 North 44th Street, Suite 120   ",Phoenix,AZ,85018
B07552,8285 Perimiter Rd. S.   ,Seattle,WA,98108
B07584,1 N. 1st Street #659   ,Phoenix,AZ,85004
B07586,2206 Pearl Street   ,Boulder,CO,80302
B07588,1536 Wynkoop Street Suite 430  ,Denver,CO,80202
B07592,311 S. Main Street   ,Wauconda,IL,60084
B07625,523 W 6th Street Suite 1234   ,Los Angeles,CA,90014
B07634,"4881 East Grant Road, Suite 101   ",Tucson,AZ,85712
B07636,786 West Montrose Street   ,Clermont,FL,34711
B07637,700 South Flower Street Suite 600  ,Los Angeles,CA,90017
B07638,333 South Grand Avenue Suite 3550  ,Los Angeles,CA,90071
WRL0021,"Attn: James Spencer, Dir. of Operations 706 Kenwood Road  ",Champaign,IL,61821
WRL0037,5430 Warner Road PO Box 25526  ,Cleveland,OH,44125
WRL0018,10620 Cedar Avenue   ,Cleveland,OH,44106-7226
WRL0060,1817 Third Avenue North   ,Birmingham,AL,35203
WRL0014,Attn: Tom Parker 1121 Situs Court Suite 140 ,Raleigh,NC,27607
B04695,50 Vandham St.   ,New York,NY,10013
B07428,3500 Mountain Boulevard   ,Oaklahoma,CA,94619-1699
B07429,5000 MacArthur Boulevard   ,Oakland,CA,94613-1301
B07430,47671 Westinghouse Drive   ,Fremont,CA,94539-7474
B07431,2433 Coolidge Ave   ,Oakland,CA,94601-2699
B07432,7901 SW 6TH Court Suite 120  ,Plantation,FL,33324
B07453,3299 International Pl   ,Dupont,WA,98327
B07458,1940 Redwing Av. S.   ,Lakeland,MN,55043
B07480,1600 Main Street   ,Venice,CA,90291
B07499,60 Backus Ave   ,Danbury,CT,06810
B07512,1131 S Street   ,Sacramento,CA,95814
B07514,20211 West. Hilton Ave   ,Buckeye,AZ,85326
B07521,1851 W 24th Street   ,Yuma,AZ,85364
B07531,2001 Wheelan Court   ,Bakersfield,CA,93309
B07540,9 Collage Court   ,Cherry Hill,NJ,08003
B07544,"c/o LaSalle Hotel Properties 7550 Wisconsin Avenue, 10th Floor  ",Bethesda,MD,20814
SI_181530,14800 St. Mary's Lane Suite 160  ,Houston,TX,77079
B07563,1325 4th Ave Suite 1440  ,Seattle,WA,98101
B07569,11030 Circle Point Rd.   ,Westminster,CO,80020
SORG283,"6406 Ivy Lane, Suite 700   ",Greenbelt,MD,20770
B07578,4 Embarcadero Center - 20th Floor   ,San Francisco,CA,94111
B07618,3301 Northland Drive Suite 505  ,Austin,TX,78731
B07635,1000 E. University Avenue   ,Laramie,WY,82071
B07639,P.O. Box 219116   ,Kansas City,MO,64121
B07640,6200 Savoy Suite 100  ,Houston,TX,77036
WRL0025,"Attn: Kathleen Washington, Deputy Commissioner City Hall Room 005A 30 Church Street ",Rochester,NY,14614
WRL0026,"Attn: Francesca Lee Halbakken, P.E. Assistant to the City Manager 915 I Street, 5th floor ",Sacramento,CA,95814-2604
WRL0057,P.O. Box 8002 Director of Facilities P.O. Box 8002 ,Gates Mills,OH,44040
WRL0033,3702 E. Roeser Rd. Suite 1  ,Phoenix,AZ,85040
B04703,6220 N. Beltine Road Suite 200   ,Irving,TX,75063
B04708,   ,Pagosa Springs,CO,
B04710,90 West Broad Street   ,Columbus,OH,43215
WRL0171,101 W. Third Street   ,Dayton,OH,45402
B07442,6900 North Lincoln Ave   ,Village of Lincolnwood,IL,60712
B07455,6400 S. Fiddler's Green Circle Suite 1820  ,Greenwood Village,CO,80111
B07462,2511 South Jasmine Place   ,Denver,CO,80222
B07466,"29970 Technology Drive, Suite 112   ",Murrieta,CA,92563
B07468,135 Center St   ,Dighton,MA,02715
B07481,150 N Upper Wacker Dr #1800   ,Chicago,IL,60606
SORG486,"2526 Pennsylvania Ave, SE, Suite 203   ",Washington,DC,20020
B07500,13th and K Street PO Box 81667  ,Lincoln,NE,68501
B07568,"Amazon Fulfillment Services, Inc. C/O Amazon.com, Inc. 410 Terry Ave N. ",Seattle,WA,98109
B07504,4700 Millenia Blvd Suite 600-B  ,Orlando,FL,32839
B07599,16250 Foster   ,Overland Park,KS,66085
B01891,10796 Kempwood Drive   ,Houston,TX,77043
B07621,"10660 Scripps Ranch Blvd., Suite 100   ",Sani Diego,CA,92131
B07622,209 Kalamath Street Suite 3  ,Denver,CO,80223
B07628,"5757 Wilshire Boulevard, Penthouse 30   ",Los Angeles,CA,90036
B07632,"350 South Grand Ave, Suite 3950   ",Los Angeles,CA,90071
WRL0053,"Bethel Woods Center for the Arts Attn: Darrell Supak One Cablevision Center, P.O. Box 222 ",Liberty,NY,12754
WRL0014,5511 Capital Center Drive Suite 450  ,Raleigh,NC,27606
WRL0119,1100 Rock & Roll Blvd.   ,Cleveland,OH,44114
WRL0067,"Attn: Jim Hainley, Project Manager 1795 Orleans Street Level 5, Trailer A  ",Baltimore,MD,21287
WRL0001,Attn: Russ Ostler/Christine Benson 11031 S. Pikes Peak Drive Suite 202 ,Parker,CO,80138
WRL0015,Attn: Richard Kieley 23240 Chagrin Blvd. Suite 350 ,Cleveland,OH,44122
WRL0024,711 Pennington Avenue   ,Havre de Grace,MD,20178
WRL0046,220 North Tryon Street   ,Charlotte,NC,28202
B07435,55 Stockton Street   ,San Francisco,CA,94108
B07533,"4600 East Washington Street, Suite 500   ",Phoenix,AZ,85034
B07546,500 North Tryon Street   ,Charlotte,NC,28202
B07557,   ,Cohasset,MA,
B07606,5956 Sherry Lane Suite 1900  ,Dallas,TX,75225
B07607,9855 Genard Rd.   ,Houston,TX,77041
B07608,2940 Eisenhower Suite 130  ,Carrollton,TX,75007
B07615,11275 S Sam Houston Pkwy W. Suite 200  ,Houston,TX,77031
B07619,5720 Gateway Blvd   ,Mason,OH,45040
WRL0119,Attn: Greg Harris President & CEO 1100 Rock and Roll Blvd ,Cleveland,OH,44114
WRL0049,"Attn: Leland Wilson, President PO Box 6753  ",Fullerton,CA,92834-6753
WRL0155,"Attn: Euan McGlashan, Managing Partner 2100 Powers Ferry Road Suite 150 ",Atlanta,GA,30339
WRL1011,Attn: Christopher Ogden 1455 East 6th Street PO Box 6387 ,Cleveland,OH,44101-1387
WRL0002,1050 E Southern Avenue Suite 5  ,Tempe,AZ,85282
WRL0091,11001 Euclid Avenue   ,Cleveland,OH,44106
WRL0119,Attn: Brian Kenyon 1100 Rock and Roll Hall of Fame Blvd  ,Cleveland,OH,44114
WRL0030,"Skanska Shook Conigilio Attn: Dan Korte Project Executive 6100 Oak Tree Blvd, Suite 200 ",Cleveland,OH,44131
WRL0084,"Attn: Todd Bemis, Vice President of Operations 55 East State Street  ",Columbus,OH,43215-4264
B03188,"GSA Manhattan Acquisition Unit Sung H. Yoo, Contracting Specialist 26 Federal Plaza, Room 16-124 ",New York,NY,10278
WRL0116,26881 Cannon Rd   ,Bedford Heights,OH,44146
WRL0108,Attn: Art Falco 1501 Euclid Avenue Suite #810 ,Cleveland,OH,44115
WRL0129,"Office of Engineering, Design & Construction Attn: Ophelia Willis 600 Maryland Ave., Suite 5001 ",Washington,DC,20560
B09689,7200 N College Ave.   ,Indianapolis,IN,46240
B09692,"1182 Marlet Street, Suite 200   ",San Francisco,CA,94102
B09693,121 E. Government Street   ,Pensacola,FL,32502
B09816,Attention:  Accounting 110 Second Avenue  ,Kearney,NE,68847
B09696,730 Drillane Circle   ,Minneapolis,MN,55305
B12508,620 Michigan Avenue NE   ,Washington,DC,20064
B09701,8518 North Ten Mile Drive   ,Jefferson City,MO,65109
B09702,270 Mohegan Avenue   ,New London,CT,06320
B3577,"2450 Venture Oaks Way, Ste 500   ",Sacramento,CA,95833
B09708,374 Temple Hill Road   ,New Windsor,NY,12553
B09711,11360 Lakefield Drive   ,Johns Creek,GA,
B09712,"8705 Shoal Creek Blvd., Suite 204   ",Austin,TX,78757
B01212,1255 West 15th Street Suite 300  ,Plano,TX,75075
SI_18320,16000 Dallas Parkway Suite 700N  ,Dallas,TX,75248
B09741,1000 Stanley Drive   ,New Britain,CT,06053
B04536,7780 West 119th Street   ,Overland Park,KS,66213
B09743,"c/o Property Advisers Realty, Inc. 2201 W Royal Lane #165  ",Irving,TX,75063
WRL2762,Design and Construction Office of Physical Plant 106 Physical Plant Building  ,University Park,PA,16802
B09764,1 Hawk Dr.   ,New Paltz,NY,12561
B09774,1314 8th Street NW   ,Washington,DC,20001
B09777,1840 East Pike   ,Zanesville,OH,43701
B09658,"Attn:  Accounts Payable 5847 San Felipe, Suite 1200  ",Houston,TX,77057
B10499,7012 Hester Rd   ,Austin,TX,78725
B09690,160 Titleist Trail   ,Popular Grove,IL,610565
B09691,132 East Ovilla Road Suite A  ,Red Oak,TX,75154
B09695,33 Kingston Street   ,Boston,MA,02111
B09752,Library of Congress Office of Contracts Management 101 Independence Ave SE LA325 ,Washington,DC,20540
B09700,8343 Douglas Avenue  (relo Aug 2019) Suite 200  ,Dallas,TX,75225
B01867,14300 Orchard Parkway   ,Westminster,CO,80023
B09706,1717 Main Street (relo 2020) Suite 1100  ,Dallas,TX,75201
B09707,"777 S. Alameda St., Suite 2017   ",Los Angeles,CA,90021
B09709,8700 W. Bryn Mawr Avenue Suite 110S  ,Chicago,IL,60631
B03735,7600 N. 16th St. Ste 143  ,Phoenix,AZ,85020
B09710,8217 Shoal Creek Blvd Suite 100  ,Ausitn,TX,78757
B07554,1750 E. Ken Pratt Blvd   ,Longmont,CO,80504
B09386,Sent via Email:  accounting@manzitto.com 4400 Lucile Drive  Suite 201  ,Lincoln,NE,68516
B09714,601 N Cement Plant Road   ,Clarkdale,AZ,85324
B09715,1300 Key Tower 127 Public Square  ,Cleveland,OH,44114-1310
B09717,502 Elm St   ,Sanger,TX,76266
B09718,2235 Mercury Way Ste #150  ,Santa Rosa,CA,95407
B09718,"GHD, Inc. 2235 Mercury Way, Suite 150  ",Santa Rosa,CA,95407
B09729,4630 Antelope Creek Road Suite 200  ,Lincoln,NE,68506
B09730,"Email Inv 10102 ""F"" Street  ",Omaha,NE,68127
B09731,1300 East 6th Street   ,Little Rock,AR,72202
B09733,9101 Fayetteville Road   ,Raleigh,NC,27603
SI3316,3500 Maple Avenue Suite 500  ,Dallas,TX,75219
B09739,"403 International Parkway, Suite 500   ",Richardson,TX,75081
B08925,4840 Cox Road   ,Glen Allen,VA,23060
B09788,7308 Greenbriar Parkway   ,Orlando,FL,32819
B09794,2920 West Broad Street Suite 109  ,Richmond,VA,23230
B09795,"1875 Lawrence St., Suite 800   ",Denver,CO,80202
B09796,2730 Old Point Drive   ,Richmond,VA,23233
B06351,20 N Doughty Avenue   ,Somerville,NJ,08876
B09807,"300 E John Carpenter, Suite LL-115   ",Irving,TX,75062
B09843,2700 S. Quicy Street Suite 300   ,Arlington,VA,22206
B03307,"1901 East Alton Ave., Suite 160   ",Santa Ana,CA,92705
B09817,1 Olympic Plaza   ,Colorado Springs,CO,80909
B09820,"4600 Sunset Ave Jordan Hall, Room 171  ",Indianapolis,IN,46208
SORG511,2021 McKinney Avenue Suite 500  ,Dallas,TX,75201
B09824,Two Allen Center 1200 Smith St - Suite 1200  ,Houston,TX,77002
B09826,4050 Esplanade Way Suite 335  ,Tallahassee,FL,32399-0950
B09829,213 N. 8th Street   ,gunter,TX,75058
B09830,2025 West Beltline Road Suite 100  ,Carrollton,TX,75006
B09831,1716 Locust Street   ,Des Moines,IA,50309
B09832,Chateau Plaza 2515 McKinney Ave. Suite 500 ,Dallas,TX,75201
B09833,"98 San Jacinto Blvd., Suite #550   ",Austin,TX,78701
B09844,5100 Whitehaven Place   ,Richmond,VA,23231
B09846,40 S. Market Street   ,San Jose,CA,95113
B09848,200 South Sixth Street Suite 4000  ,Minneapolis,MN,55402
B09849,1304 Concourse Drive Ste 150   ,Linthicum,MD,21090
B09850,5315 Avion Park Dr #170   ,Tampa,FL,33607
B09770,One Park Plaza Bldg. II 5 West  ,Nashville,TN,37203
SI_1848,342 S Main St Suite 200  ,Grapevine,TX,76051
B09035,"Real Estate, Facilities & Construction 3333 Fairview Road, A477  ",Costa Mesa,CA,92626
B08172,5055 Keller Springs Road Suite 250  ,Addison,TX,75001
SI_18154,21031 Warner Center Lane Suite C  ,Woodland Hills,CA,91367
SI_18164,10670 N Central Expwy 6th Floor  ,Dallas,TX,75231
SI_18184,"7500 Dallas Parkway, Ste 700   ",Plano,TX,75024
SI_18198,1717 West Loop South 15th Floor  ,Houston,TX,77027
SI_18200,6301 Gaston Avenue Suite 538  ,Dallas,TX,75214
SI131,4333 Amon Carter Blvd.  (vacated Sept. 2019) MD 5317  ,Fort Worth,TX,76155
SI_18215,2000 N. Classen Blvd. Ste 226A  ,Oklahoma City,OK,73106
SI_18250,9400 N. Central Expressway Suite 1616  ,Dallas,TX,75231
SI_18254,12657 Alcosta Blvd. Suite 500  ,San Ramon,CA,94583-4600
SI_18269,208 S. Akard Street   ,Dallas,TX,75202
SI_18280,SVC 9101 Tuscany Way  ,Austin,TX,78754
SI_18318,1517 Centre Place Dr Suite 250  ,Denton,TX,76205
B08965,Citymark 3100 Mckinnon 3rd Floor ,Dallas,TX,75201
SI_18344,5956 Sherry Lane Place 11th Floor  ,Dallas,TX,75225
SI_18350,150 South Wacker Drive Suite 350  ,Chicago,IL,60606
SI_18374,12222 Merit Drive Suite 120  ,Dallas,TX,75251
SI_18382,801 E. Campbell Road Suite 100  ,Richardson,TX,75081
SI_18392,17601 Beretta Drive   ,Accokeek,MD,20607
SI_18402,1722 Routh Street Suite 770  ,Dallas,TX,75201
SI_18451,13355 Noel Rd Suite 1810  ,Dallas,TX,75240
SI_18456,1717 Main Street Suite 5900  ,Dallas,TX,75201
SI_18462,555 Dividend Drive   ,Coppell,TX,75019
SI_18466,Southwest Plaza 1807 Ross Avenue Suite 250 ,Dallas,TX,75201
SI_18469,"Brookfield Place 250 Vesey Street, 15th Floor  ",New York,NY,10281-1023
SI_18475,138 Conant Street   ,Beverly,MA,01915
SI_18492,3501 Jamboree Road Suite 4200  ,Newport Beach,CA,92660
SI_18499,Ross Tower 500 N. Akard Street; Suite 3100  ,Dallas,TX,75201
SI_18510,6301 Gaston Avenue Suite 150P  ,Dallas,TX,75214
SI_18513,Headquarters 2100 Third Avenue North  ,Birmingham,AL,35203
SI_18536,1999 Bryan Street Suite 3300  ,Dallas,TX,75201
SI_18538,1255 Corporate Drive Suite 240  ,Irving,TX,75038
SI_18544,823 Congress Avenue Suite 1111  ,Austin,TX,78701
SI_18547,5055 Keller Springs Road Suite 100  ,Dallas,TX,75244
B13328,111 W. Monroe Street   ,Chicago,IL,60603
SI_18559,2100 McKinney Avenue Suite 1600  ,Dallas,TX,75201-6905
SI_18570,14785 Preston Road Suite 750  ,Dallas,TX,75254
SI213,Hillcrest Tower 12720 Hillcrest Suite 705 ,Dallas,TX,75230
SI_18729,8111 Westchester Drive Suite 900  ,Dallas,TX,75225
SI_18735,2350 N. Stemmons (other for mail) 3rd Floor  ,Dallas,TX,75207
SI_18737,2777 Stemmons Fwy Suite 1700  ,Dallas,TX,75207
SI_18746,5420 LBJ Freeway (reloc 2016?) Suite 200  ,Dallas,TX,75240
SI_18748,15770 N. Dallas Parkway Suite 950  ,Dallas,TX,75248
SI_18758,825 W. Irving Blvd.   ,Irving,TX,75060
SI_18762,Williams Square 5221 North O'Connor Blvd. Suite 100 ,Irving,TX,75039
SI_18768,500 North Akard Street Suite 2990  ,Dallas,TX,75201
SI_18774,1717 McKinney Avenue Suite 1900  ,Dallas,TX,75202-1236
SI_18779,Providence Tower 5001 Spring Valley Road Suite 600W ,Farmers Branch,TX,75244
SI_18782,1201 Elm Street Suite 5200  ,Dallas,TX,75270
SI_18794,135 San Lorenzo Avenue Suite 750  ,Coral Gables,FL,33146
B09004,Park Seventeen 1717 McKinney Avenue Suite 900 ,Dallas,TX,75202
SI_18853,13727 Noel Road Suite 750  ,Dallas,TX,75240
SI_18856,6200 The Corners Pkwy   ,Norcross,GA,30092
SI_18859,Chase Tower 2200 Ross Avenue Suite 4200W ,Dallas,TX,75201
SI_18889,4207 Herschel   ,Dallas,TX,75219
SI_18892,7505 John W. Carpenter Freeway   ,Dallas,TX,75247
SI_18919,"5005 LBJ Freeway, Suite 800   ",Dallas,TX,75244
SI_18937,3819 Maple Avenue   ,Dallas,TX,75219
SI_18952,102 Decker Court Suite 100  ,Irving,TX,75062
SI_181035,Dallas County District 4343 North I-30  ,Mesquite,TX,75150-2095
SI_181043,7501 Lone Star Suite B200  ,Plano,TX,75024
SI_181055,500 North Akard St Suite 2600  ,Dallas,TX,75201
SI_181062,175 Wyman Street   ,Waltham,MA,02451
SI_181092,"200 Crescent Ct., Ste. 500   ",Dallas,TX,75201
SI_181094,560 S 100 W   ,Provo,UT,84601
SI_181098,2400 Aviation Drive   ,DFW Airport,TX,75261
SI_181100,2400 Aviation Drive   ,DFW Airport,TX,75261
B12302,270 Washington Street SW   ,Altanta,GA,30334
SI_181120,13552 US Hwy 183 North Suite A  ,Austin,TX,78750
SI_181134,201 California Street Suite 470  ,San Francisco,CA,94111
SI_181142,7500 San Jacinto Place   ,Plano,TX,75024
CH461,3715 Davinci Court Suite 300  ,Peachtree Corners,GA,30092
B09934, 300 Boston Post Road  ,New Haven,CT,06516
SI_181170,5001 Spring Valley Rd Suite 825W  ,Farmers Branch,TX,75244
SI_181172,2000 McKinney Avenue Suite 2150  ,Dallas,TX,75201
SI_181176,13760 Noel Road Suite 500  ,Dallas,TX,75240
SI_181199,5005 LBJ Freeway Suite 1200  ,Dallas,TX,75244
SI_181205,500 W 5th Street Suite 700  ,Austin,TX,78701
SI_181211,Energy Plaza 1601 Bryan Street Suite 510 ,Dallas,TX,75201
SI_181219,5500 Caruth   ,Dallas,TX,75225
SI_181227,777 Main Street Suite 3900  ,Fort Worth,TX,76102
SI_181230,2311 Cedar Springs Suite 300  ,Dallas,TX,75201
SI_181240,One Cowboys Way Suite 350  ,Frisco,TX,75034
SI_181254,8111 Westchester Drive Suite 600  ,Dallas,TX,75225
SI_181260,"Two Galleria Tower 13455 Noel Road, Suite 2100  ",Dallas,TX,75240
SI_181272,16650 Westgrove Drive   ,Addison,TX,75001
SI_181283,16000 Dallas Parkway Suite 225  ,Dallas,TX,75248
SI_181288,500 Chicon   ,Austin,TX,78702
SI_181307,Republic Center 325 North St. Paul Street Suite 800 ,Dallas,TX,75201
SI_181310,Galleria North Tower II 13727 Noel Road Suite 900 ,Dallas,TX,75240
B06297,2317 Renaissance Dr.   ,Las Vegas,NV,89119
SI_181320,13100 Skyline Boulevard   ,Woodside,CA,94062-4547
SI_181324,9201 N Central Expwy Suite 600  ,Dallas,TX,75231
SI_181335,2021 McKinney Avenue Suite 1600  ,Dallas,TX,75201
SI_181354,Woodlawn Hall Old Parkland Campus 3819 Maple Avenue  ,Dallas,TX,75219
SI_181359,401 Edgewater Place   ,Wakefield,MA,01880
SI_181365,2100 Lakeside Boulevard Suite 250  ,Richardson,TX,75082
SI_181369,6801 Gaylord Parkway Suite 400  ,Frisco,TX,75034-1507
SI_181379,One Frost 3838 Rogers Road  ,San Antonio,TX,78251
SI_181389,12222 Merit Drive Suite 150  ,Dallas,TX,75251
SI_181434,4201 International Parkway   ,Carrollton,TX,75007
SI_181436,433 East Las Colinas Boulevard Suite 1100  ,Dallas,TX,75039
SI_181467,3575 Bridge Road Suite 8 PMB #402  ,Suffolk,VA,23435
SI_181521,1201 Elm Street Suite 4100  ,Dallas,TX,75270
SI_181527,800 Central Expressway East Suite 100  ,Plano,TX,75074
B11558,2928 Story Rd. West   ,Las Colinas,TX,75038
SI_181549,4455 LBJ (old Town North bank building) Suite 812  ,Dallas,TX,75244
SI_181557,12655 N. Central Expressway Suite 322  ,Dallas,TX,75243
SI_181585,4705 Alliance Blvd. Suite 785  ,Plano,TX,75093
SI_181600,   ,Dallas,TX,
SI_181614,One Victory Park 2323 Victory Avenue Suite 1200 ,Dallas,TX,75219
SI_181625,"8200 Tower, Suite 600 5600 W. 83rd Street  ",Bloomington,MN,55437
SI_181633,5810 Trade Center Dr. Bldg 1 Suite 200  ,Austin,TX,78744
B09257,200 Crescent Court Suite 1330  ,Dallas,TX,75201
SI_181644,1201 Elm Street Suite 3500  ,Dallas,TX,75270
SI_181649,3000 Turtle Creek Blvd.   ,Dallas,TX,75219
SI_181652,"9800 Hillwood Pkwy, Suite 300   ",Fort Worth,TX,76177
SI_181672,2828 Harwood Suite 1300  ,Dallas,TX,75201
SI_181674,12712 Park Central Drive Suite 100  ,Dallas,TX,75251
SI_181676,5950 Berkshire Lane Suite 900  ,Dallas,TX,75225
SI_181694,200 Crescent Court Suite 900  ,Dallas,TX,75201
B11630,2901 37th Street   ,Snyder,TX,75949
SI_181700,3700 North Capital of Texas Highway Suite 420  ,Austin,TX,78746
SI_181703,2929 N. Central Expressway Suite 110  ,Plano,TX,75080
SI_181709,4464 Sigma Road Suite 100  ,Dallas,TX,75001
SI_181714,500 West 7th Street Suite 300  ,Fort Worth,TX,76102
SI_181720,1900 North Akard Street   ,Dallas,TX,75201
SI_181714,1717 McKinney Avenue Suite 1400  ,Dallas,TX,75201
SI_181730,6200 LBJ Freeway Suite 200  ,Dallas,TX,75240-6331
SI_181742,1950 N Stemmons Fwy   ,Dallas,TX,75207
SI_181766,Park Central 8 12770 Merit Drive Suite 400 ,Dallas,TX,75251
SI_181791,3000 Pegasus Park Drive   ,Dallas,TX,
SI_181809,KPMG Plaza at Hall Arts 2323 Ross Avenue Suite 600 ,Dallas,TX,75201
SI_181919,14801 Quorum Drive Suite 200  ,Dallas,TX,75254
SI_181924,8111 Preston Road Suite 250  ,Dallas,TX,75225
SI_181930,100 Glass Street Suite  ,Dallas,TX,75207
SI_181961,8115 Preston Road Suite 700  ,Dallas,TX,75225
SI_181973,8360 LBJ Freeway Suite 400  ,Dallas,TX,75243
WRL2131,633 W. 5th Street Floor 68  ,Los Angeles,CA,90071
SI_181993,8150 N. Central Expressway 10th Floor  ,Dallas,TX,75206
SI_182035,"3626 N. Hall Street, Ste 400   ",Dallas,TX,75219
SI_182072,2000 Westwood Drive PO Box 8017  ,Wausau,WI,54401
SI_182079,2124 E. 6th Street Suite 102  ,Austin,TX,78702
SI_182095,5400 LBJ Freeway Suite 700  ,Dallas,TX,75240
SI_182095,2000 McKinney Avenue Suite 1000  ,Dallas,TX,75201
SI3051,3100 McKinnon Street Suite 800  ,Dallas,TX,75201
SI_182147,15770 Dallas Pkwy (relo 2017) Suite 800  ,Dallas,TX,75248
SI_182157,3625 North Hall St. Suite 1400  ,Dallas,TX,75219
SI_182183,1700 International Parkway Suite 200  ,Richardson,TX,75081
SI_182189,3890 W. Northwest Highway Suite 600  ,Dallas,TX,75220-5236
SI_182200,5900 S Lake Forest Drive Suite 110  ,McKinney,TX,75070
SI_182215,4245 N Central Expressway Suite 310  ,Dallas,TX,75205
SI_182240,1095 Avenue of the Americas   ,New York,NY,10036
SI_182274,14643 Dallas Parkway Suite 1000  ,Dallas,TX,75254
SI_182276,14643 Dallas Parkway Suite 1000  ,Dallas,TX,75254
SI_182303,14800 Quorum Drive Suite 330  ,Dallas,TX,75254
SI_182306,999 Third Avenue Suite 2800  ,Seattle,WA,98104
SI_182310,8950 Cypress Waters Blvd.   ,Coppell,TX,75019
SI_182346,3097 Satellite Blvd.   ,Duluth,GA,30096
SI_182349,2800 Renaissance Tower 1201 Elm Street  ,Dallas,TX,75270
SI_182359,2515 McKinney Avenue Suite 1300  ,Dallas,TX,75201
SI_182379,5221 N. O'Connor Blvd. 11th Floor  ,Irving,TX,75039
SI_182383,International Plaza  (moving 2014) 14241 North Dallas Parkway Suite _______ ,Dallas,TX,75254
SI3214,5875 Landerbrook Drive Suite 220  ,Cleveland,OH,44124
SI_182405,Millennium Tower (moving 2012 ?) 15455 Dallas Pkwy. Suite 1080 ,Dallas,TX,75001
SI_182412,1100 Meridith Lane Suite 1013  ,Plano,TX,75093
SI_182437,7850 N. Beltline   ,Irving,TX,75063
B09987,Oncor Building 115 W. 7th Street Suite 817 ,Fort Worth,TX,76102
SI_182489,2800 N. Dallas Parkway Suite 101  ,Dallas,TX,75093
SI_182494,5001 Spring Valley Suite 1150 West  ,Dallas,TX,75244
SI_182500,4100 Alpha Rd Suite 215  ,Dallas,TX,75224
B04483,3200 West C Street   ,Torrington,WY,82240
B04488,2340 Garden Road Suite 100  ,Monterey,CA,93940
B04498,"4100 Regent Street, Suite G   ",Columbus,OH,43219
B02988,"VIA EMAIL:lpennock@cl-trust.com 50 Cocoanut Row, Suite 211  ",Palm Beach,FL,33480
B01272,3260 Industrial Road   ,Las Vegas,NV,89109
SI_181379,100 West Houston Street Suite T-10  ,San Antonio,TX,78205
B04516,1 Olympic Plaza   ,Colorado Springs,CO,80909
B04518,800 Mount Vernon Hwy NE   ,Atlanta,GA,30328
B04526,7701 W. Little York Rd. Suite 400   ,Houston,TX,77040
B04537,6550 Sprint Parkway KSOPHR0312-3B560   ,Overland Park,KS,66251
B04560,12120 State Line Rd. Suite 262   ,Leawood,KS,66209
B04589,1050 20th Street #220   ,Sacramento,CA,95811
B04591,6252 E. Grant Rd.   ,Tucson,AZ,85712
B04537,4520 Main St. Suite 600   ,Kansas City,MO,64111
B04593,4510 Belleview Ave. Suite 300   ,Kansas City,MO,64111
B04615,2215 S York Road   ,Oak Brook,IL,60523
B04617,200 W. Adams   ,Chicago,IL,60606
B04554,"621 North Avenue, NE Suite C-140   ",Atlants,GA,30308
B04561,1820 Mcgee   ,Kansas City,MO,64108
