"Details
Project",Street,City,State,Zip
25-20119-00,601 Front Sreet  ,Marietta,OH,45750
25-20119-01,601 Front Sreet  ,Marietta,OH,45750
25-20121-00,601 Stones Levee Road  ,Cleveland,OH,44113
25-20121-01,601 Stones Levee Road  ,Cleveland,OH,44113
25-20121-02,601 Stones Levee Road  ,Cleveland,OH,44113
25-20122-00,  ,Cleveland,OH,
25-20123-00,  ,Columbus,OH,
25-21102-00,3663 Mayfield Road  ,Cleveland Heights,OH,44118
25-21108-00,200 N. High Street  ,Columbus,OH,43215
25-21111-00,  ,Gahanna,OH,
25-21112-00,  ,Gahanna,OH,
25-21113-00,  ,Gahanna,OH,
25-21114-00,  ,Gahanna,OH,
25-21115-00,  ,Gahanna,OH,
25-21116-00,  ,Gahanna,OH,
25-21117-00,  ,Gahanna,OH,
25-21118-00,  ,Gahanna,OH,
25-21119-00,  ,Gahanna,OH,
25-21120-00,  ,Gahanna,OH,
25-21121-00,  ,Gahanna,OH,
25-21122-00,  ,Gahanna,OH,
25-21124-00,107 Columbus Ave.  ,Sandusky,OH,44870
25-21126-00,  ,Middletown,OH,
25-22014-00,1804 North 32nd Street  ,Phoenix,AZ,85032
25-22090-00,604 Gay Street  ,Knoxville,TN,37902
25-97001-00,  ,Cleveland,OH,
25-98107-00,232 West 25th Street  ,Erie,PA,16544
25-98144-00,401 N. 4th Street  ,Wausau,WI,54403
26-10101-01,600 East 2nd St.  ,Whitefish,MT,59937
26-12101-00,Helena Public Schools 55 South Rodney ,Helena,MT,59601
26-12102-01,600 East 2nd St.  ,Whitefish,MT,59937
26-12102-02,600 East 2nd St.  ,Whitefish,MT,59937
26-12102-03,600 East 2nd St.  ,Whitefish,MT,59937
26-12103-00,  ,Billings,MT,
26-12103-01,  ,Billings,MT,
26-18101-00,"155 Museum Way,  ",Butte,MT,59701
27-04102-11,  ,Torrington,WY,
27-04102-71,  ,Torrington,WY,
27-09102-11,310 W. 19th Street Suite 400 ,Cheyenne,WY,82001
27-09102-12,310 W. 19th Street  ,Cheyenne,WY,82001
27-09102-13,  ,Cheyenne,WY,
27-09102-31,310 W. 19th Street Suite 400 ,Cheyenne,WY,
27-09102-32,  ,Cheyenne,WY,
27-09102-33,  ,Cheyenne,WY,
27-09102-41,310 W. 19th Street  ,Cheyenne,WY,82001
27-09102-42,  ,Cheyenne,WY,
27-09102-43,  ,Cheyenne,WY,
27-09102-44,310 W. 19th Street  ,Cheyenne,WY,
27-10101-01,  ,Casper,WY,
27-10101-02,  ,Casper,WY,
27-10101-03,  ,Casper,WY,
27-11101-01,1703 Campus Drive  ,Casper,WY,82601
27-11101-07,  ,Casper,WY,
27-11102-00,  ,Casper,WY,
27-11102-01,  ,Casper,WY,
27-11102-02,  ,Casper,WY,
27-11102-03,  ,Casper,WY,
27-11102-04,  ,Casper,WY,
27-11102-05,  ,Casper,WY,
27-11102-06,  ,Casper,WY,
27-11102-07,  ,Casper,WY,
27-11102-08,  ,Casper,WY,
27-12102-00,  ,Cheyenne,WY,
27-12102-10,  ,Cheyenne,WY,
27-12103-01,  ,Laramie,WY,
27-12104-00,  ,Yellowstone,WY,
27-12104-01,  ,Yellowstone,WY,
27-13101-00,145 West 19th Street  ,Cheyenne,WY,82001
27-13101-10,  ,Cheyenne,WY,
27-13101-20,  ,Cheyenne,WY,
27-13101-30,  ,Cheyenne,WY,
27-13102-00,  ,Laramie,WY,
27-13102-10,  ,Laramie,WY,
27-14102-00,  ,Torrington,WY,
27-15101-00,  ,Cheyenne,WY,
27-15102-02,  ,Laramie,WY,
27-15102-03,  ,Laramie,WY,
27-18101-00,  ,Cheyenne,WY,
27-27111-01,  ,Cheyenne,WY,
28-14101-00,  ,Fort Hall,ID,
28-15101-00,  ,Idaho Falls,ID,
28-16101-00,  ,Boise,ID,
28-17101-00,  ,Boise,ID,
28-18101-00,  ,Nampa,ID,
28-19101-00,350 North Milwaukee #1051  ,Boise,ID,83704
28-20101-00,  ,Boise,ID,
28-20101-01,  ,Boise,ID,
29-11101-00,Fashion Place Mall 6191 S. State Street ,Murray,UT,84107-7269
29-11102-00,SEC of S. State Street and E. 11400 S.  ,Draper,UT,YAH Invest
29-13101-00,  ,West Jordan,UT,
29-13102-00,Marriott University Park  ,Salt Lake City,UT,
29-13103-00,South Jordan  ,South Jordan,UT,
29-13103-01,South Jordan  ,South Jordan,UT,
29-16173-00,  ,Salt Lake City,UT,91302
29-17101-00,  ,Salt Lake City,UT,
29-17102-00,  ,Provo,UT,
29-17840-00,11850 S Electrion Rd.  ,Draper,UT,84020
29-17840-01,  ,Salt Lake City,UT,
29-17840-02,  ,Salt Lake City,UT,
29-17840-03,  ,Salt Lake City,UT,
29-17841-00,  ,Salt Lake City,UT,
29-18101-00,  ,Provo,UT,
29-18102-00,  ,Salt Lake City,UT,
29-18102-01,"3rd Floor, Parkside Tower  ",Salt Lake City,UT,
29-18102-02,"4th Floor, Parkside Tower  ",Salt Lake City,UT,
29-19104-00,  ,Hurricane,UT,
30-00000-02,  ,Polacca,AZ,
30-00000-03,  ,Dulce,NM,
30-00000-04,  ,Sells,AZ,
30-00000-06,  ,Tucson,AZ,
30-00000-07,  ,Tucson,AZ,
30-00000-08,  ,Oro Valley,AZ,
30-00000-09,  ,Tucson,AZ,
30-00000-10,  ,Prescott,AZ,86301
30-00000-13,  ,Prescott,AZ,
30-00000-14,  ,Tucson,AZ,
30-00000-15,  ,Tucson,AZ,
30-00000-16,  ,Tucson,AZ,
30-00000-17,  ,Tucson,AZ,
30-00000-18,  ,Tucson,AZ,
30-00000-19,7650 North Paseo Del Norte  ,Tucson,AZ,85704
30-00000-21,100 W Grant Rd  ,Tucson,AZ,85704
30-00000-22,  ,Neah Bay,WA,
30-00000-23,3601 South Sixth Avenue  ,Tucson,AZ,85737
30-00000-24,5301 East Grant Road  ,Tucson,AZ,
30-00000-25,5301 East Grant Road  ,Tucson,AZ,85704
30-00000-26,5301 East Grant Road  ,Tucson,AZ,
30-00000-27,1501 North Campbell  ,Tucson,AZ,
30-00000-28,1501 North Campbell  ,Tucson,AZ,85704
30-00000-29,1003 Willow Creek Road  ,Prescott,AZ,86301
30-00000-30,3262 North Windsong Drive  ,Prescott Valley,AZ,86314
30-00000-31,1003 Willow Creek Rd  ,Prescott,AZ,86301
30-00000-32,  ,Tucson,AZ,
30-00000-35,  ,Tucson,AZ,
30-04019-00,6644 E Baywood Ave.  ,Mesa,AZ,85206
30-06123-03,  ,Santan Valley,AZ,
30-08131-04,  ,Tempe,AZ,
30-09081-00,1816 S. Figueroa Street  ,Los Angeles,CA,90015
30-09111-04,  ,Laveen,AZ,
30-09112-05,  ,Tucson,AZ,
30-09113-01,  ,Phoenix,AZ,
30-09118-03,  ,Globe,AZ,
30-09201-24,  ,Phonenix,AZ,
30-10104-03,  ,Glendale,AZ,
30-10112-06,  ,Vail,AZ,
30-10112-07,  ,Phoenix,AZ,
30-10112-08,  ,Phoenix,AZ,
30-10120-02,  ,Sells,AZ,
30-10120-03,  ,Sells,AZ,
30-10202-26,  ,flagstaff,AZ,
30-10202-27,  ,flagstaff,AZ,
30-10202-28,  ,flagstaff,AZ,
30-10303-51,  ,Tucson,AZ,
30-10303-52,  ,Tucson,AZ,
30-10303-53,  ,Tucson,AZ,
30-10303-54,  ,Tucson,AZ,
30-10303-55,  ,Tucson,AZ,
30-10303-56,  ,Tucson,AZ,
30-10303-57,  ,Tucson,AZ,
30-10303-58,5301 E. Grant Rd.  ,Tucson,AZ,85712
30-10303-59,  ,Tucson,AZ,
30-10303-60,  ,Tucson,AZ,
30-10303-61,5301 E. Grant Rd.  ,Tucson,AZ,
30-10303-62,  ,Tucson,AZ,
30-10303-63,  ,Tucson,AZ,
30-10303-64,  ,Tucson,AZ,
30-10303-65,  ,Tucson,AZ,
30-10303-66,  ,Tucson,AZ,
30-10303-67,  ,Tucson,AZ,
30-10303-68,  ,Tucson,AZ,
30-10303-69,  ,Tucson,AZ,
30-10303-70,  ,Tucson,AZ,
30-10303-71,  ,Tucson,AZ,
30-10303-72,  ,Tucson,AZ,
30-10303-73,  ,Tucson,AZ,
30-10303-74,  ,Tucson,AZ,
30-10303-75,  ,Tucson,AZ,
30-10303-76,  ,Tucson,AZ,
30-10303-77,  ,Tucson,AZ,
30-10303-78,  ,Tucson,AZ,
30-10303-79,  ,Tucson,AZ,
30-10303-80,  ,Tucson,AZ,
30-10303-81,  ,Tucson,AZ,
30-10303-82,  ,Tucson,AZ,
30-10303-83,  ,Tucson,AZ,
30-10303-84,  ,Tucson,AZ,
30-10303-85,  ,Tucson,AZ,
30-10303-86,  ,Tucson,AZ,
30-10303-87,  ,Tucson,AZ,
30-10303-88,  ,Tucson,AZ,
30-10303-89,  ,Tucson,AZ,
30-10303-90,  ,Tucson,AZ,
30-10303-91,  ,Tucson,AZ,
30-10303-92,  ,Tucson,AZ,
30-10312-01,  ,Marana,AZ,
30-10312-02,  ,Marana,AZ,
30-11098-00,  ,Grand Junction,CO,
30-11104-02,  ,Prescott Valley,AZ,
30-11104-03,  ,Prescott Valley,AZ,
30-11105-02,  ,Phoenix,AZ,
30-11105-03,  ,Phoenix,AZ,
30-11105-04,  ,Phoenix,AZ,
30-11105-05,  ,Phoenix,AZ,
30-11105-06,  ,Phoenix,AZ,
30-11107-26,  ,Scottsdale,AZ,
30-11108-02,  ,Green Valley,AZ,
30-11108-03,  ,Green Valley,AZ,
30-11108-04,  ,Green Valley,AZ,
30-11108-05,  ,Green Valley,AZ,
30-11108-06,  ,Green Valley,AZ,
30-11109-01,  ,Scottsdale,AZ,
30-11109-02,  ,Scottsdale,AZ,
30-11109-03,  ,Scottsdale,AZ,
30-11109-04,  ,Scottsdale,AZ,
30-11111-01,  ,Scottsdale,AZ,
30-11112-00,  ,Phoenix,AZ,
30-11113-00,  ,Show Low,AZ,
30-11114-00,858 E. Dobson Rd.  ,Phoenix,AZ,
30-11115-01,  ,Phoenix,AZ,
30-11115-02,  ,Phoenix,AZ,
30-11116-00,  ,Phoenix,AZ,
30-11116-01,  ,Phoenix,AZ,
30-11117-01,  ,San Tan,AZ,
30-11117-02,  ,San Tan,AZ,
30-11117-03,  ,San Tan,AZ,
30-11117-04,  ,San Tan,AZ,
30-11117-05,  ,San Tan,AZ,
30-11117-06,  ,San Tan,AZ,
30-11117-99,  ,San Tan,AZ,
30-11118-00,  ,Gila Bend,AZ,
30-11119-00,  ,Payson,AZ,
30-11120-00,  ,Green Valley,AZ,
30-11121-00,  ,Phoenix,AZ,
30-11122-00,  ,Phoenix,AZ,85051
30-11123-00,  ,Phoenix,AZ,
30-11124-00,  ,Phoenix,AZ,
30-11124-01,  ,Phoenix,AZ,
30-11125-00,  ,Scottsdale,AZ,
30-11125-01,  ,Scottsdale,AZ,
30-11125-02,  ,Scottsdale,AZ,
30-11125-03,  ,Scottsdale,AZ,
30-11125-04,  ,Scottsdale,AZ,
30-11125-05,  ,Scottssdale,AZ,
30-11125-06,  ,Scottsdale,AZ,
30-11125-07,  ,Scottsdale,AZ,
30-11125-08,  ,Scottsdale,AZ,
30-11126-00,5120 S. Rural Rd  ,Tempe,AZ,85282
30-11126-01,2955 West Ray Rd.  ,Chandler,AZ,85224
30-11126-02,10810 N. Tatum Blvd.  ,Paradise Valley,AZ,85028
30-11126-03,7111 E. Mayo Blvd.  ,Scottsdale,AZ,85054
30-11126-04,3360 E. Speedway Blvd.  ,Tucson,AZ,
30-11127-00,  ,Claypool,AZ,
30-11128-00,  ,Flagstaff,AZ,
30-11129-00,CityScape Suite 175 One East Washington St.,Phoenix,AZ,85004
30-11130-00,  ,Surprise,AZ,
30-11131-00,  ,Show Low,AZ,
30-11132-00,  ,Kingman,AZ,
30-11133-00,  ,Phoenix,AZ,
30-11134-00,  ,Bullhead City,AZ,
30-11305-01,  ,Glendale,AZ,
30-11307-00,  ,Maricopa,AZ,
30-11308-00,  ,Tucson,AZ,
30-11308-01,  ,Tucson,AZ,
30-11308-02,  ,Green Valley,AZ,
30-11308-03,  ,Green Valley,AZ,
30-11308-04,  ,Tucson,AZ,
30-11309-00,  ,Tucson,AZ,
30-11310-00,  ,Bisbee,AZ,
30-11311-00,  ,Bisbee,AZ,
30-11311-01,  ,Bisbee,AZ,
30-11311-02,  ,Bisbee,AZ,
30-11312-00,4620 E. Camp Lowell Dr.  ,Tucson,AZ,85712
30-11313-00,3360 E. Speedway Blvd.  ,Tucson,AZ,85716
30-11313-01,  ,Tuscon,AZ,
30-12035-00,  ,Phoenix,AZ,
30-12071-00,Southern Arizona VA Healthcare Systems 3601 S. 6th Avenue (9-90C) Building 85,Tucson,AZ,85723
30-12072-01,Northern Arizona VA Healthcare System  500 Hwy 89N,Prescott,AZ,86313
30-12073-00,  ,Prescott,AZ,
30-12101-00,  ,Phoenix,AZ,00000
30-12102-00,  ,Show Low,AZ,
30-12103-00,  ,Glendale,AZ,
30-12103-01,  ,Glendale,AZ,
30-12103-02,  ,Glendale,AZ,
30-12104-00,  ,Phoenix,AZ,
30-12104-01,  ,Phoenix,AZ,
30-12105-00,  ,Tucson,AZ,
30-12106-00,  ,Phoenix,AZ,
30-12107-00,  ,Chandler,AZ,85225
30-12108-00,  ,Phoenix,AZ,
30-12108-01,  ,Phoenix,AZ,
30-12109-00,1155 North Pinal Parkway  ,Florence,AZ,85132
30-12110-00,530 E Riley Dr  ,Avondale,AZ,85323
30-12110-01,  ,Avondale,AZ,
30-12110-02,  ,Avondale,AZ,
30-12111-00,  ,Goodyear,AZ,
30-12111-01,  ,Goodyear,AZ,
30-12112-00,14802 W Wigwam Blvd  ,Goodyear,AZ,85395
30-12112-01,  ,Goodyear,AZ,
30-12112-02,  ,Goodyear,AZ,
30-12112-03,  ,Goodyear,AZ,
30-12112-04,  ,Goodyear,AZ,
30-12113-00,  ,Buckeye,AZ,
30-12113-01,  ,Avondale,AZ,
30-12114-00,  ,Holbrook,AZ,
30-12114-01,  ,Show Low,AZ,
30-12114-02,  ,Show Low,AZ,
30-12115-00,  ,Phoenix,AZ,
30-12116-00,33 S. 3rd St.  ,Phoenix,AZ,
30-12116-01,  ,Phoenix,AZ,
30-12116-02,  ,Phoenix,AZ,
30-12116-03,140 E. 2nd Street  ,Flint,MI,48502
30-12116-10,  ,Flint,MI,
30-12117-00,  ,Show Low,AZ,
30-12117-01,  ,Show Low,AZ,
30-12118-00,  ,Phoenix,AZ,
30-12119-00,  ,Show Low,AZ,
30-12121-00,  ,Phoenix,AZ,
30-12122-00,  ,Phoenix,AZ,
30-12122-01,  ,Phoenix,AZ,
30-12122-02,  ,Phoenix,AZ,
30-12122-03,  ,Phoenix,AZ,
30-12123-01,51 E. Main  ,Mesa,AZ,
30-12123-02,  ,Mesa,AZ,
30-12123-03,  ,Mesa,AZ,
30-12123-04,  ,Mesa,AZ,
30-12125-00,  ,Phoenix,AZ,
30-12126-00,  ,Kykotsmovi,AZ,
30-12127-00,  ,Show Low,AZ,
30-12127-01,  ,Show Low,AZ,
30-12128-00,  ,Holbrook,AZ,
30-12128-01,  ,Holbrook,AZ,
30-12128-02,  ,Holbrook,AZ,
30-12129-00,  ,Phoenix,AZ,
30-12130-01,  ,Florence,AZ,
30-12131-00,  ,Phoenix,AZ,
30-12132-00,  ,Phoenix,AZ,
30-12133-00,  ,Tucson,AZ,
30-12133-01,  ,Tucson,AZ,
30-12133-02,  ,Tucson,AZ,
30-12133-03,  ,Tucson,AZ,
30-12134-00,  ,Phoenix,AZ,
30-12134-01,  ,Phoenix,AZ,
30-12135-00,2102 W. Encanto Blvd.  ,Phoenix,AZ,
30-12135-01,  ,Phoenix,AZ,
30-12135-02,  ,Phoenix,AZ,
30-12136-00,  ,Glendale,AZ,
30-12136-01,  ,Glendale,AZ,
30-12136-02,5487 N. 99th Ave.  ,Glendale,AZ,
30-12136-03,  ,Glendale,AZ,
30-12136-04,  ,Glendale,AZ,
30-12137-00,  ,Eloy,AZ,
30-12138-00,  ,Phoenix,AZ,
30-12138-98,  ,Phoenix,AZ,
30-12138-99,  ,Phoenix,AZ,
30-12139-00,  ,Nadaburg,AZ,
30-12146-00,  ,Stephenville,TX,
30-12301-00,1100 N. Wilmot  ,Tucson,AZ,
30-12302-00,  ,Tucson,AZ,
30-12303-00,  ,Douglas,AZ,
30-12304-00,  ,Sacaton,AZ,
30-12304-01,  ,Sacaton,AZ,
30-12304-02,  ,Sacaton,AZ,
30-12305-00,3456 W. Casa Blanca Road  ,Casa Blanca,AZ,
30-12305-01,  ,Casa Blanca,AZ,
30-12306-00,1775 East Skyline Drive  ,Tucson,AZ,85718
30-12307-00,  ,Tucson,AZ,
30-12308-00,  ,Tucson,AZ,
30-12308-01,  ,Tucson,AZ,
30-12308-02,  ,Tucson,AZ,
30-12701-00,6257 E. Broadway Blvd.  ,Tucson,AZ,85711
30-13005-00,  ,Los Angeles,CA,
30-13018-00,  ,Peabody,MA,
30-13081-00,  ,Phoenix,AZ,
30-13088-00,"UMHB Station, Box 8441 900 College Street ",Belton,TX,76513
30-13088-10,"UMHB Station, Box 8441 900 College Street ",Belton,TX,76513
30-13102-00,  ,Phoenix,AZ,
30-13102-99,  ,Phoenix,AZ,
30-13103-00,  ,Anthem,AZ,
30-13104-00,1645 West McDowell Road  ,Phoenix,AZ,85007
30-13105-00,  ,Show Low,AZ,
30-13106-00,  ,Whiteriver,AZ,
30-13107-00,  ,Phoenix,AZ,
30-13108-00,  ,Taylor,AZ,
30-13109-00,  ,Phoenix,AZ,
30-13110-00,  ,Various,AZ,
30-13110-01,  ,Show Low,AZ,
30-13110-02,  ,Snowflake,AZ,
30-13110-03,  ,Show Low,AZ,
30-13110-04,  ,Winslow,AZ,
30-13110-05,  ,Show Low,AZ,
30-13111-00,  ,Phoenix,AZ,
30-13112-00,  ,Prescott,AZ,
30-13113-00,  ,Avondale,AZ,
30-13113-01,  ,Avondale,AZ,
30-13114-00,2826 E. Grovers  ,Phoenix,AZ,85032
30-13115-00,  ,Phoenix,AZ,
30-13116-01,  ,Buckeye,AZ,
30-13116-03,  ,Buckeye,AZ,
30-13116-04,  ,Buckeye,AZ,
30-13116-05,  ,Buckeye,AZ,
30-13116-99,  ,Buckeye,AZ,
30-13117-00,  ,Phoenix,AZ,
30-13118-00,4710 E. Baseline  ,Mesa,AZ,
30-13118-01,4710 E. Baseline  ,Mesa,AZ,
30-13118-02,4710 E. Baseline  ,Mesa,AZ,
30-13118-03,  ,Multiple,AZ,
30-13119-00,  ,Flagstaff,AZ,
30-13120-00,  ,Phoenix,AZ,
30-13121-00,  ,Phoenix,AZ,
30-13122-00,  ,Buckeye,AZ,
30-13123-00,1617 W. Williams Dr.  ,Phoenix,AZ,85027
30-13123-01,  ,Phoenix,AZ,
30-13124-00,  ,Scottsdale,AZ,
30-13124-01,  ,Scottsdale,AZ,
30-13124-02,  ,Scottsdale,AZ,
30-13125-00,7435 East McDowell Road  ,Scottsdale,AZ,85257
30-13126-00,  ,Phoenix,AZ,
30-13127-00,  ,Tucson,AZ,
30-13127-01,  ,Tucson,AZ,
30-13128-00,  ,Flagstaff,AZ,
30-13129-00,2222 W. Encanto Blvd.  ,Phoenix,AZ,
30-13130-00,  ,Buckeye,AZ,
30-13131-00,  ,Phoenix,AZ,
30-13132-00,  ,Phoenix,AZ,
30-13133-00,  ,Phoenix,AZ,
30-13134-01,  ,Flagstaff,AZ,
30-13144-00,  ,Herndon,VA,
30-13301-00,  ,Tucson,AZ,
30-13302-00,3945 E. Paradise Falls Dr.  Suite 109,Tucson,AZ,85712
30-13302-01,  ,Tucson,AZ,
30-13302-02,  ,Tucson,AZ,
30-13303-00,  ,Douglas,AZ,
30-13303-01,  ,Douglas,AZ,
30-13303-02,  ,Douglas,AZ,
30-13303-03,  ,Douglas,AZ,
30-13303-04,  ,Douglas,AZ,
30-13303-05,  ,Douglas,AZ,
30-13303-06,  ,Douglas,AZ,85607
30-13303-07,  ,Douglas,AZ,
30-13303-08,  ,Douglas,AZ,
30-13303-09,  ,Douglas,AZ,
30-13304-00,5511 E. River Road  ,Tucson,AZ,85750
30-13305-00,  ,Tucson,AZ,
30-13306-00,  ,Tucson,AZ,
30-13306-01,  ,Tucson,AZ,
30-13307-00,  ,Bisbee,AZ,
30-14023-00,  ,Phoenix,AZ,
30-14056-00,  ,Exeter,VA,
30-14057-00,  ,Charlottesville,VA,
30-14073-00,Barbara Antonsen Memorial Park  ,Sedona,AZ,86336
30-14093-00,  ,Columbus,IN,
30-14101-01,  ,Phoenix,AZ,
30-14101-02,  ,Phoenix,AZ,
30-14101-03,  ,Phoenix,AZ,
30-14101-04,  ,Phoenix,AZ,
30-14101-05,  ,Phoenix,AZ,
30-14101-06,  ,Phoenix,AZ,
30-14101-07,  ,Phoenix,AZ,
30-14101-99,  ,Phoenix,AZ,
30-14102-00,  ,Goodyear,AZ,
30-14102-01,  ,Goodyear,AZ,
30-14103-00,6843 E Adobe Street  ,Mesa,AZ,85207
30-14105-00,1 E Washington St.  ,Phoenix,AZ,85004
30-14106-00,645 S. Highway 82  ,Sierra Vista,AZ,85635
30-14107-00,  ,Phoenix,AZ,
30-14108-00,  ,Phoenix,AZ,
30-14109-00,  ,Phoenix,AZ,
30-14110-00,  ,Phoenix,AZ,
30-14111-00,  ,Phoenix,AZ,
30-14112-00,  ,Phoenix,AZ,
30-14113-00,  ,Fountain Hills,AZ,
30-14114-00,  ,Sierra Vista,AZ,85635-2317
30-14115-01,"4900 N. Scottsdale Rd., Suite 5000  ",Scottsdale,AZ,85251
30-14115-04,  ,Scottsdale,AZ,
30-14115-05,  ,Scottsdale,AZ,
30-14115-06,  ,Scottsdale,AZ,
30-14115-07,  ,Scottsdale,AZ,
30-14115-08,  ,Scottsdale,AZ,
30-14116-00,2955 West Ray Rd.  ,Chandler,AZ,85224
30-14117-00,7111 E. Mayo Blvd  ,Scottsdale,AZ,85054
30-14118-00,10810 N. Tatum Blvd.  ,Phoenix,AZ,85028
30-14119-00,  ,Tucson,AZ,
30-14120-00,  ,Scottsdale,AZ,
30-14120-01,  ,Scottsdale,AR,
30-14121-00,  ,Avondale,AZ,
30-14122-00,2222 W. Encanto Blvd.  ,Phoenix,AZ,85003
30-14122-02,  ,Phoenix,AZ,
30-14122-03,  ,Phoenix,AZ,
30-14123-00,  ,Phoenix,AZ,
30-14124-00,  ,Scottsdale,AZ,
30-14124-01,  ,Scottsdale,AZ,
30-14125-00,  ,Kingman,AZ,
30-14125-01,  ,Kingman,AZ,
30-14126-00,  ,Phoenix,AZ,
30-14128-00,6000 East Camelback Road  ,Scottsdale,AZ,85251
30-14129-00,  ,Surprise,AZ,
30-14130-01,  ,Buckeye,AZ,
30-14130-02,  ,Buckeye,AZ,
30-14130-03,  ,Buckeye,AZ,
30-14130-04,  ,Buckeye,AZ,
30-14131-00,  ,Prescott,AZ,
30-14132-00,127 Kingston St.  ,Chandler,AZ,
30-14133-00,  ,Florence,AZ,
30-14134-00,2342 E. University Drive  ,Phoenix,AZ,85034
30-14135-00,67th Avenue & W Pinnacle Peak Road  ,Phoenix,AZ,85383
30-14135-01,  ,Phoenix,AZ,
30-14135-02,  ,Phoenix,AZ,85383
30-14135-03,  ,Phoenix,AZ,85383
30-14136-00,1500 N Scovel Street  ,Tempe,AZ,85281
30-14137-00,  ,Tempe,AZ,
30-14138-00,  ,Sedona,AZ,
30-14139-01,  ,Eloy,AZ,
30-14139-02,  ,Eloy,AZ,
30-14139-03,  ,Eloy,AZ,
30-14139-04,  ,Eloy,AZ,
30-14139-05,  ,Eloy,AZ,
30-14139-06,  ,Eloy,AZ,
30-14139-07,  ,Eloy,AZ,
30-14139-10,  ,Eloy,AZ,85131
30-14139-20,  ,Eloy,AZ,85131
30-14140-00,  ,Tolleson,AZ,
30-14143-00,"121 E. Birch, 5th Fl.  ",Flagstaff,AZ,86001
30-14144-00,  ,Cave Creek,AZ,
30-14145-00,Blunk Building Little Colorado Campus ,Winslow,AZ,
30-14146-00,  ,Chandler,AZ,
30-14147-00,  ,Phoenix,AZ,
30-14148-00,901 N. Colombo Ave  ,Sierra Vista,AZ,85635
30-14148-01,  ,Sierra Vista,AZ,85635
30-14148-02,  ,Sierra Vista,AZ,85635
30-14149-00,  ,Phoenix,AZ,
30-14150-00,  ,Show Low,AZ,
30-14151-00,  ,Goodyear,AZ,
30-14301-00,  ,Tucson,AZ,
30-14308-00,  ,Tucson,AZ,
30-14309-00,  ,Benson,AZ,
30-14309-01,  ,Benson,AZ,85602
30-14309-02,  ,Benson,AZ,
30-14310-01,  ,Yuma,AZ,
30-14311-00,6252 E. Grant Rd.  ,Tucson,AZ,85712
30-14311-01,  ,Tucson,AZ,
30-14311-02,  ,Tucson,AZ,
30-14312-00,  ,Tucson,AZ,
30-14314-00,  ,Benson,AZ,85602
30-15014-00,  ,El Dorado,OH,
30-15030-00,2301 N Central Ave.  ,Phoenix,AZ,85004
30-15031-00,Washburn University Campus  ,Topeka,KS,
30-15031-99,Washburn University Campus  ,Topeka,KS,
30-15054-00,200 Peach Street  ,El Dorado,AR,71730
30-15054-31,200 Peach Street  ,El Dorado,AR,71730
30-15054-53,200 Peach Street  ,El Dorado,AR,
30-15059-00,  ,Phoenix,AZ,
30-15065-00,  ,Henniker,NH,
30-15066-00,  ,Exeter,NH,
30-15067-00,  ,Concord,MA,
30-15086-00,720 Sheridan Avenue  ,Cody,WY,82414
30-15101-00,  ,Phoenix,AZ,
30-15102-00,  ,Scottsdale,AZ,
30-15102-01,  ,Scottsdale,AZ,
30-15105-00,  ,Phoenix,AZ,
30-15105-01,  ,Phoenix,AZ,
30-15106-00,  ,Sierra Vista,AZ,85635
30-15107-00,  ,Phoenix,AZ,
30-15108-00,  ,Tempe,AZ,
30-15109-30,Fountainhead Parkway 1501 Park Bridge ,Tempe,AZ,85282
30-15110-00,32648 N Cave Creek Road  ,Cave Creek,AZ,85331
30-15111-00,  ,Sierra Vista,AZ,
30-15112-00,300 El Camino Real  ,Sierra Vista,AZ,85635
30-15112-01,  ,Sierra Vista,AZ,
30-15112-02,  ,Sierra Vista,AZ,
30-15112-03,  ,Sierra Vist,AZ,
30-15113-00,  ,Sierra Vista,AZ,
30-15114-00,500 N Verrado Way  ,Buckeye,AZ,85326
30-15114-01,  ,Buckeye,AZ,
30-15115-00,  ,Florence,AZ,
30-15116-01,  ,Glendale,AZ,
30-15116-02,  ,Glendale,AZ,
30-15116-03,  ,Glendale,AZ,
30-15117-00,1330 E. Carson Drive  ,Tempe,AZ,85282
30-15119-00,18921 W. Thomas Rd.  ,Buckeye,AZ,85340
30-15121-00,  ,Marana,AZ,
30-15121-01,  ,Marana,AZ,
30-15121-02,  ,Marana,AZ,
30-15121-03,  ,Marana,AZ,
30-15122-00,971 Jason Lopez Cir. Building A ,Florence,AZ,85132
30-15122-01,  ,Florence,AZ,
30-15122-02,971 Jason Lopez Cir. Building A ,Florence,AZ,85132
30-15122-03,971 Jason Lopez Cir. Building A ,Florence,AZ,85132
30-15122-04,971 Jason Lopez Cir. Building A ,Florence,AZ,85132
30-15122-05,  ,Florence,AZ,
30-15123-00,  ,Mesa,AZ,85016
30-15125-00,  ,Tucson,AZ,
30-15126-00,  ,Tempe,AZ,
30-15128-00,  ,Mesa,AZ,
30-15128-01,  ,Mesa,AZ,
30-15128-02,  ,Mesa,AZ,
30-15128-03,  ,Mesa,AZ,
30-15130-01,  ,Goodyear,AZ,
30-15130-02,  ,Goodyear,AZ,
30-15130-03,  ,Goodyear,AZ,
30-15130-05,  ,Unincorporated Maricopa County,AZ,
30-15130-06,  ,Unincorporated Maricopa County,AZ,
30-15131-00,600 West Graham Canal Road  ,Safford,AZ,85546
30-15131-01,  ,Stafford,AZ,85546
30-15131-02,600 West Graham Canal Road  ,Safford,AZ,85546
