,Region,School Name,12.	What are your 5 most important concerns about the condition of the site and building(s) on your campus?  ,Top5,g.  Sensory Room,h.  Independent Learning Lab,i.  Autism Room,b.  Air conditioning,Quality Of Classrooms,Leverage Outdoor Space,Community Assembly,Overall,Perception of Environment heat,Toilet Facilities,Columns Need Repair,Air Conditioner,Paint,Leak,Roof,Ceiling,Fungus Mold,Electric,Plumbing,Fence,Gate,Pests
195,Bayamón,JESUS SANCHEZ ERAZO	70508,"1. Reinforcement of the bridges of the main corridors of the school. (Recommendation of the engineer after earthquakes).
2. Arrangement of short columns.
3. Leaks from the kitchen and in the warehouse of the school canteen.
4. Parking (not available for all employees).
5. A two motor of the water pump is not in operation.  This generates difficulty in discharging the bathrooms and the power plant does not work. 
",reinforcement bridge main corridor school recommendation engineer earthquake arrangement short column leak kitchen warehouse school canteen park available employee two motor water pump operation generate difficulty discharge bathroom power plant work,,,,1.0,3.0,3.0,2.0,3.0,1.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0
196,Arecibo,JESUS T PIÑERO	12096,The last evaluation of the buildings carried out in the month of April 2021 is needed to validate which buildings are suitable for use.,last evaluation building carry month april 0 needed validate building suitable use,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
197,Caguas,JESUS T PIÑERO	20784,"1. Few spaces for direct student service offices such as: special education room.  One possible solution is the classroom division to convert them into two or three special education modules to receive children. 
2. Ceiling filtering; it is a constant problem that affects the quality of life of all students.
3. Bathrooms available; we have buildings without access to toilets, and we have a single faculty bathroom for the entire school. At least, we need the construction of an additional bathroom. In addition, attend to sanitary pipes to make them safer. 
4. Disused building, with the possibility of restoration to provide offices and educational spaces such as therapy rooms, etc. 
5. Poor lighting during night periods.",space direct student service office special education room possible solution classroom division convert two three special education module receive child ceiling filter constant problem affect quality life student bathrooms available building without access toilet single faculty bathroom entire school least need construction additional bathroom addition attend sanitary pipe make safer disused building possibility restoration provide office educational space therapy room etc poor light night period,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0
198,Caguas,JESUS T PIÑERO	21550,"It is required to repair floors, air conditioners, elevator, replacement of bulbs, retouching of paint throughout the campus, maintenance of cisterns, stop flooding of the library.",require repair floor air conditioner elevator replacement bulb retouch paint throughout campus maintenance cistern stop flooding library,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0
199,Humacao,JOBOS	31252,"1. estacinamiemnto
2. master rooms
3. storage
4. Sports facilities
5. Nurse and Social Worker Offices 
6. Bibblioteca 
7. dining bell",estacinamiemnto master room storage sport facility nurse social worker office bibblioteca din bell,0.0,0.0,,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
200,Arecibo,JOHN W HARRIS	10355,"Areas affected by earthquakes Baños and Puente, repair it to use all rooms. Damaged windows bars that must be changed for being extremely rusty, columns of living areas that must be reinforced, paint areas of administrative offices, front fence of the school must be remodeled,",area affect earthquake baños puente repair use room damage window bar must change extremely rusty column live area must reinforce paint area administrative office front fence school must remodel,0.0,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,0,0,1,0,0,0,0,0,0,1,0,0
201,Humacao,JORGE ROSARIO DEL VALLE	35972,"The school I run consists of a physical plant that is in Good condition, just some details that can be improved.  
1. A booth is needed for the school guard, as the entrance gate is quite distant from the main entrance.
2. After Hurricane Maria, the court suffered significant damage, including: exit door (front) ota, currently have wood placed, leaks in the roof.
3. Change of modern electric gate.
4. Although the floors are appropriate, after the correction of short columns in the campus, the floor was opaque, due to the cement that fell etc. It can be improved by polishing and waxing it.
5. The security cameras of the Genesis company are Excellent, but those that are installed additional in the school, being old, can not be connected to the cell phone (for Director) in this way to be able to monitor from home, at night or on weekends the school. ",school run consist physical plant good condition detail improve booth needed school guard entrance gate quite distant main entrance hurricane maria court suffer significant damage include exit door front ota currently wood place leaks roof change modern electric gate although floor appropriate correction short column campus floor opaque due cement fell etc improve polish wax security camera genesis company excellent instal additional school old connect cell phone director able monitor home night weekend school,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,0,0,1,1,0,0,1,0,0,1,0
202,Ponce,JOSE  M ESPADA ZAYAS	58131,"Speed reducers, construction of a fence separating the parking area and the student yard, painting of the physical plant, roof of the court, the repair of the short columns is stopped, caste at the entrance of the school for the security personnel, the bathrooms of the students and the drainage in the physical plant when it rains among others.",speed reducer construction fence separate park area student yard paint physical plant roof court repair short column stop caste entrance school security personnel bathroom student drainage physical plant rain among others,,,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1,0,1,0,1,0,0,0,0,1,0,0
203,Humacao,JOSE .F CINTRON Y ANEXO	32573,"Correct ceiling leaks, pressure washing high walls and paint the entire school. correct soil cracks. place drainage pipe. change of ceilings. arrangement of front gates. Repair the school canteen from earthquake signaling. repair of around the court to prevent rains from flooding the floor.",correct ceiling leak pressure wash high wall paint entire school correct soil crack place drainage pipe change ceiling arrangement front gate repair school canteen earthquake signal repair around court prevent rain flooding floor,,,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0,0,1,1,0,1,0,0,0,0,1,0
204,Humacao,JOSE A LOPEZ CASTRO	34777,1. Cracks in structure 2. mushroom that is in almost all black and white rooms 3. Leaks in the roof of the school 4.Short columns 5.Electric cables,crack structure mushroom almost black white room leak roof school short column electric cable,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,0,0,1,1,0,0,1,0,0,0,0
205,Ponce,JOSE B BARCELO OLIVER	55804,"Access to the school, deteriorated road, poultry area, horticulture area, road lighting, painting of campus, repair of bathrooms,",access school deteriorate road poultry area horticulture area road light paint campus repair bathroom,,,,1.0,,0.0,,2.0,,0.0,0,0,1,0,0,0,0,0,0,0,0,0
206,Humacao,JOSE CALZADA FERRER	31070,Bathrooms require remodeling. The substation needs improvement. Some rooms require repairs. Change of main fence and surroundings by bars for greater security. Construction of a park for the enjoyment of students.,bathroom require remodel substation need improvement room require repair change main fence surroundings bar great security construction park enjoyment student,0.0,,3.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0
207,Bayamón,JOSE CAMPECHE 70482,Filtration in 2 academic rooms.,filtration academic room,,,,3.0,2.0,2.0,0.0,2.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
208,Humacao,JOSE COLLAZO COLON	34785,"Electricity constant problems 
Few rooms 
Court without electricity 
Gates and gates",electricity constant problem room court without electricity gate gate,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0
209,Humacao,JOSE DE DIEGO	30874,"The school in general, is well maintained even so, it needs to work on some areas such as: 
1. Correction of columns in closed rooms since 2019.
2. Arrangement of cracks in the roofs of buildings, which cause water to get into the rooms when it rains.
3. Treatment of rooms and offices with fungal problems.
4. Painting of the physical plant.",school general maintain needs work area correction column close room since 0 arrangement crack roof building cause water room rain treatment room office fungal problem paint physical plant,0.0,,0.0,2.0,4.0,4.0,4.0,3.0,1.0,4.0,0,0,1,0,1,0,1,0,0,0,0,0
210,Ponce,JOSE FELIPE ZAYAS	56226,"PROBLEMS WITH BATHROOMS, COURT ROOFING, LEAKS, DAMAGED CISTERN, PAINTING, PROBLEM WITH PIGEONS",problem bathroom court roof leak damage cistern painting problem pigeon,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0,0,1,1,1,0,0,0,0,0,0,1
211,Caguas,JOSE HORACIO CORA	24752,"Doors and windows of the living rooms 
Court 
Air conditioners",door windows live room court air conditioner,,,,1.0,1.0,0.0,0.0,2.0,1.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0
212,Bayamón,JOSE M DEL VALLE 71399,"At the moment a disused building, which consists of 4 rooms, which are in Good condition, with their air conditioners and ready to use. In this building the project of short columns was carried out but the back of the building is still missing. 
2. Roof of the front of the school canteen. It was lost in its entirety after Hurricane Maria.
3. Replace 4 aluminum sheets of the roof of the stands of the school court, these were lost with Hurricane Maria.
4. Front fence of the school.
5. Main gate of the electric motor school.",moment disused building consist room good condition air conditioner ready use building project short column carry build miss roof front school canteen lose entirety hurricane maria replace aluminum sheet roof stand school court lose hurricane maria front fence school main gate electric motor school,,,,0.0,4.0,2.0,3.0,3.0,2.0,3.0,1,1,0,0,1,0,0,1,0,1,1,0
213,Caguas,JOSE M MASSARI	24661,"Problems with comjen begin to weaken 2-story structure
After the earthquakes vurnerable building with cracks 
4 rooms with ceiling problems where the cement ceiling constantly falls 
Bathrooms with leaks where there are already qualifications such as stalactites on the ceiling
Detachment of lights lack of paint.",problem comjen begin weaken story structure earthquakes vurnerable building crack room ceiling problem cement ceiling constantly fall bathroom leak already qualification stalactite ceiling detachment light lack paint,,,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0,0,1,1,0,1,0,0,0,0,0,0
214,Bayamón,JOSE M TORRES	70680,"1. Swarm of bamboos that interfere with the electrical substation endangering the safety of the school community.
2. Leaks in ceilings of several rooms, office and dining room.
3. The pedestrian staircase at the entrance of the school, with only access to the outside, needs to be repaired because it is undermined, which poses a danger to the school community.
4. Roof for the court to be able to provide appropriate sports experiences to the school community.
5. Immediate arrangement of the Library room, in addition to several outlets in that same room, already reported.
6. Build pedestrian access from the second floor to the school's interior road for the eviction route in case of an emergency.  
7. Urgent painting for the whole school.",swarm bamboo interfere electrical substation endanger safety school community leak ceiling several room office dining room pedestrian staircase entrance school access outside need repair undermined pose danger school community roof court able provide appropriate sport experience school community immediate arrangement library room addition several outlet room already report build pedestrian access second floor school interior road eviction route case emergency urgent painting whole school,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,1,1,1,0,1,0,0,0,0
215,Ponce,JOSE ONOFRE TORRES	57000,The school needs to be repaired by the earthquakes.,school need repair earthquake,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
216,Bayamón,JOSE PABLO MORALES	71373,"1. BUILDING WITH STRUCTURAL PROBLEMS IN THE ANNEX AREA WITH CRACKS.  LIVING ROOM NEXT TO THE SCHOOL CANTEEN WITH CRACKS
2.ACCESS RAMP TO THE MAIN BUILDING IS NOT IN Good CONDITION DOES NOT MEET THE SPECIFICATION OF SPECIAL EDUCATION OF ARCHITECTURAL BARRIERS.  NEED FOR RAMP TO A SECTION OF A BUILDING.
3.FENCE THAT THE WALL YIELDS
4.PRUNING OF TREES WITH COMEJEN
5.ELECTRICAL PROBLEMS TO BE ABLE TO OPERATE AIR UNITS IN THE SCHOOL",build structural problem annex area crack live room next school canteen crack access ramp main building good condition meet specification special education architectural barrier need ramp section building fence wall yield prune tree comejen electrical problem able operate air unit school,,,,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0,0,0,0,0,0,0,1,0,1,0,1
217,Ponce,JOSE RAMON RODRIGUEZ	50500,"Painting is required in the rooms outside and inside them. Paving in the backyard of the school, the asphalt has eroded. The gazebo of the main courtyard has cracks. Remodeling of the exterior bathrooms, areas of (k-3). Correct a crack over the door and window of the first grade room. Correct several cracks in second grade classrooms.",painting require room outside inside pave backyard school asphalt erode gazebo main courtyard crack remodel exterior bathroom area k correct crack door window first grade room correct several crack second grade classroom,,,,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0
218,Bayamón,JOSE ROBLES OTERO 71522,"1. Electrification of new air conditioners.
2. Roof sealing.
3. Short column.
4. Painting of the whole school.
5. Internal lighting of corridors and halls.",electrification new air conditioner roof seal short column paint whole school internal lighting corridor hall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0
219,Bayamón,JOSE ROJAS CORTES 14357,I have not,,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
220,Arecibo,JOSE SANTOS ALEGRIA	71092,"Lack of an alternate power plant
Lack of warehouse
Comején in the structure
Pigeon droppings
Water pumping system
Deterioration of the court",lack alternate power plant lack warehouse comején structure pigeon droppings water pump system deterioration court,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1
221,Humacao,JOSE SANTOS QUIÑONES	34207,"1.School built at a lower level than the road which causes the halls below to flood when it rains. This situation has occurred since the school was built. The solution to the problem is that the water pump that helps avoid that problem, works properly. In this way the rooms below would be skillful to be used
2. Bathrooms below have not been served by Public Buildings. Still to install sanitary services, doors, sink ect.
3. School painting
4. Removal of trees that were demolished since Hurricane Maria and have not been removed. causing the gates to be on the ground
5. General and basic maintenance repairs - gates around the school",school build low level road cause hall flood rain situation occur since school build solution problem water pump help avoid problem work properly room skillful use bathroom serve public building install sanitary service door sink ect school paint removal tree demolish since hurricane maria remove cause gate ground general basic maintenance repair gate around school,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0,0,1,0,0,0,0,0,1,0,1,0
222,Ponce,JOSE VIZCARRONDO	13318,"Roof leaks
Exterior painting
Problems with runoff and drains
Main Gate
Maintenance of land adjacent to be used by the agriculture program. 

",roof leak exterior painting problem runoff drain main gate maintenance land adjacent use agriculture program,0.0,2.0,,0.0,2.0,1.0,2.0,2.0,3.0,2.0,0,0,1,1,1,0,0,0,0,0,1,0
223,Bayamón,JOSEFA DEL RIO GUERRERO 18242,"The Josefa Del Río school requires immediate attention in painting,
 roof repair of the court, 
filtration in living rooms and offices,
 pigeons on windows, cleaning of high areas with pigeon and fungal droppings
Lighting in corridors and parking
Comején in cabinets",josefa del río school require immediate attention paint roof repair court filtration living room office pigeon window clean high area pigeon fungal droppings light corridor park comején cabinet,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0,0,1,0,1,0,1,0,0,0,0,1
224,Ponce,JOSEFINA BOYA	54502,"Sidewalks in Poor condition, walls with cracks, warehouse lowered the floor level.",sidewalk poor condition wall crack warehouse lowered floor level,0.0,,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
225,Humacao,JOSEFINA FERRERO	34348,"1. Cracks that remain unrepaired
2. Comenjen terrero
3. Comejen arboreal
4. Bathrooms in the rooms Full-Time Lounge
5. Repair of short columas/Roof treatment
6. Painting
7. Doors that do not close/open easily
8. Fence around the school/rotten gates
9. Court needs mesh/floods",crack remain unrepaired comenjen terrero comejen arboreal bathroom room full time lounge repair short columas roof treatment paint door close open easily fence around school rotten gate court need mesh flood,0.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,2.0,0,0,1,0,1,0,1,0,0,1,1,1
226,Bayamón,JOSEFITA MONSERRATE DE SELLES 70532,"1. Access ramp for kindergarten students (student with mobility problem), 2 . Filtration in the administrative office and cracks in the wall, Exterior staircase that gives access to the second level, 4. Conditions of the indoor court 5. Painting of the school campus",access ramp kindergarten student student mobility problem filtration administrative office crack wall exterior staircase give access second level condition indoor court paint school campus,,,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0
227,Arecibo,JUAN A CORRETJER	17319,"1. Painting of the school campus
2 Leaks in rooms
3. Cracks
4. Mechanical doors
5. main gate",paint school campus leak room crack mechanical door main gate,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,1,1,0,0,0,0,0,0,1,0
228,Arecibo,JUAN A SANCHEZ DAVILA	14779,"1.Painting- It is in terrible condition
2. Room leaks - multiple rooms leak and equipment is damaged 
3. Student bathrooms- Damaged and terrible conditions. 
4. Gates, bars and gates- broken and damaged
5. Damaged air conditioners in administrative offices- that of the damaged principal's office, damaged faculty room, office of the secretaries cool little",paint terrible condition room leak multiple room leak equipment damage student bathroom damage terrible condition gate bar gate broken damage damage air conditioner administrative office damage principal office damage faculty room office secretary cool little,0.0,,3.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,0,1,1,1,0,0,0,0,0,0,1,0
229,Humacao,JUAN A SANCHEZ	30729,"1- Space, rooms or modules- The current student enrollment is 309 and 359 are projected, currently 5 painted rooms or modules with aures conditioning are needed to teach. A room for children's house (PK, K) since currently two groups share a room because there are no more classrooms and in the same way 4 middle school groups, which are using two modules or wagons, plus the facilities of a community center provided by the community.
2- Educ. Special - need to acquire a module / wagon with air acobditioned and equipped or build a room so that therapy services can be offered within the school campus because due to lack of space, these are offered in a community center near the school of the community of the Placita neighborhood in Juncos.
3- Toilets- The school needs more sanitary facilities because it has only 6 bathroom cubicles.  The service is septic well, which depends on the weekly emptying of a company for the enrollment of students and staff. (There is no bathroom for adults or employees.)
4-Electric generator- constantly the school has voltage problems, according to electrical experts of the municipality a generator is necessary for building 2 to correct the sutuacion.
5- Infrastructure - the school gate located in the back of the salobes need repair as well as the main pedestrian gate of Casa del Niño. The room of the teacher Lopez de kinder needs repair pir cracks, fungus on the floor caused by the humidity of the ground that can be corrected if they place earthenware on the floor.",space room module current student enrollment 0 project currently paint room module aures condition need teach room child house pk k since currently two group share room classroom middle school group use two module wagon plus facility community center provide community educ special need acquire module wagon air acobditioned equipped build room therapy service offer within school campus due lack space offer community center near school community placita neighborhood junco toilet school need sanitary facility bathroom cubicle service septic depend weekly empty company enrollment student staff bathroom adult employee electric generator constantly school voltage problem accord electrical expert municipality generator necessary building correct sutuacion infrastructure school gate locate salobes need repair main pedestrian gate casa del niño room teacher lopez de kinder need repair pir crack fungus floor cause humidity ground correct place earthenware floor,0.0,,,1.0,0.0,2.0,1.0,2.0,2.0,2.0,0,0,1,0,0,0,1,1,1,0,1,0
230,Ponce,JUAN CUEVAS ABOY	52258,"Building used as a warehouse, faculty room, Nurse, Psychologist and Administrative Assistant office broken since Hurricane Maria.
Very small dining room.
Broken sidewalks in the yard
Parking needs to be paved
Second level available to build more rooms.",building use warehouse faculty room nurse psychologist administrative assistant office break since hurricane maria small dining room broken sidewalk yard park need paved second level available build room,,,,3.0,0.0,0.0,2.0,2.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
231,Humacao,JUAN JOSE MAUNEZ	35881,"I am concerned about the short columns, the court by removal of a piece to be able to use it, portòn of both entrances, ceilings and above all the painting of the whole school.",concern short column court removal piece able use portòn entrance ceiling paint whole school,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,0,1,0,0,1,0,0,0,0,0,0
232,Ponce,JUAN MOREL CAMPOS (MUSICA)	52156,"1. The school has not been painted for more than five years. 
2. The sealing of roofs was never finished and what they started was damaged. 
3. The school has no windows and the chiller system (air conditioning) only works 30% because the other compressors have to be installed. 
4. When the air conditioning system does not work well, the rooms have a problem of humidity and fungi. 
5. You have to change all the windows of the rooms on the third floor since they are in wood and are most of these broken and school canteen. 
6. Better lighting is needed in the hallways, parking lot and schoolyard.",school paint five year seal roof never finish start damaged school window chiller system air condition work 0 compressor instal air conditioning system work room problem humidity fungi change window room third floor since wood broken school canteen well light need hallway park schoolyard,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,1,1,0,1,0,0,0,0,0,0,0
233,Bayamón,JUAN MORELL CAMPOS 70177,"1. Leaks in classrooms and paint from ceilings that frost falls on students.
2.Claying ceilings in hallways that are sagging.
3. School ramp
4. Court roof that gets wet and benches to sit on
5. Wooden structure that requires demolition and that is made of cement for storage.


",leak classroom paint ceiling frost fall student claying ceiling hallway sag school ramp court roof get wet bench sit wooden structure require demolition make cement storage,0.0,,,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0,0,1,1,1,1,0,0,0,0,0,0
234,Humacao,JUAN PONCE DE LEON	33704,"1. 122-year-old building with electricity and internet problems.
2. Architectural barriers for the second floor of the school. Only steep and irregular stairs.
3. Small rooms. There is no room for 25 students. Another 6 rooms are half rooms.
4. School located on aquifer and evidence of subsidence in the field.
5. Court repaired but with the problem of pigeon knotting.
6. There is no faculty room.",year old building electricity internet problem architectural barrier second floor school steep irregular stair small room room student another room half room school locate aquifer evidence subsidence field court repair problem pigeon knot faculty room,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1
235,Bayamón,JUAN RAMON JIMENEZ 70060,"Need repair of short columns,
Need for a solution to the infiltration of rainwater that falls in corridors that affects the rooms between the first and second floors.
Need to replace partitions between rooms. They are in wood and we are facing moth and termite problems. It can be PVC or Gipson board
Need to build structures for: (1) Therapy facilities (2) warehouse to store equipment and sports material.
Need to restore the fire emergency system, labeling """"exit"""".
Window repair, window operators,
School electrical repairs.",need repair short column need solution infiltration rainwater fall corridor affect room first second floor need replace partition room wood face moth termite problem pvc gipson board need build structure therapy facility warehouse store equipment sport material need restore fire emergency system label exit window repair window operator school electrical repair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1,0,0,0,0,0,0,1,0,0,0,1
236,Ponce,JUAN SERRALLES (INTERMEDIA)	57562,"FEMA pending work for broken retaining walls, construction of indoor court, cisterns.",fema pending work broken retain wall construction indoor court cistern,,,,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
237,Ponce,JUAN SERRALLES (SUPERIOR)	52274,"Diseased buildings, unencapsulated well problems, leaky roofs",diseased building unencapsulated problem leaky roof,,,,1.0,2.0,2.0,0.0,2.0,3.0,2.0,0,0,0,1,1,0,0,0,0,0,0,0
238,Bayamón,JUANA G AVILES (FRANQUEZ) 12278,"1. School Court (rusted columns)
2. Short columns (unfinished)
3. Kindergarten patio cleaning (replace)
4. Lighting cleaning
5.Pruning / Fumigation",school court rust column short column unfinished kindergarten patio clean replace light clean prune fumigation,0.0,,,3.0,1.0,0.0,0.0,1.0,2.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0
239,Ponce,JULIO ALVARADO	55475,"1. Repairs of the campus have been paralyzed in their entirety since October.
2. Extremely deteriorated exterior and interior paint. 
3. Ceiling filtration. Urgent repair.
4. Lack of maintenance of exterior and interior lighting. 
5. Separation of main corridors that connect with other corridors (Upper Floor).",repair campus paralyze entirety since october extremely deteriorate exterior interior paint ceiling filtration urgent repair lack maintenance exterior interior light separation main corridor connect corridor upper floor,,,,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0,0,1,0,0,1,0,0,0,0,0,0
240,Arecibo,JULIO LEBRON SOTO	11908,"1. Gates at the back of the school are broken. 
2. Bathrooms are needed for male and female staff. 
3. Handicapped ramps for dining room. 
4. Fence the electrical substation. 
5. Change of broken windows. 
6. Complete the improvement works of the school court. 
7. Construction of living room. 
8. Construction of administrative office with faculty room and bathrooms. 
9. Construction of warehouse facilities. 

",gate school break bathroom need male female staff handicap ramp din room fence electrical substation change broken windows complete improvement work school court construction living room construction administrative office faculty room bathroom construction warehouse facility,0.0,,,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0,0,0,0,0,0,0,1,0,1,1,0
241,Bayamón,JULIO RESSY	70292,Ceilings of living rooms throwing rod mold.,ceiling live room throw rod mold,0.0,,,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0,0,0,0,0,1,1,0,0,0,0,0
242,Humacao,LA FERMINA	30916,"1.Se required to provide land for parking. 
2.Building 4th and 5th presents cracks in column area bathrooms and floor 5th grade
3.Rebuild room 3rd and EFisica in cement (currently it is wood and zinc) and the EE room identify if it is viable to change roof in cement (room was built on septic tank which is out of use). The school is connected to the sewer. 
4.Build rest area (gazebo or gazebo) for students within the campus. 
5.Build classrooms for support and therapy staff. Staff continue to arrive and the physical plant is limited.",se require provide land park building th th present crack column area bathroom floor th grade rebuild room rd efisica cement currently wood zinc ee room identify viable change roof cement room build septic tank use school connect sewer build rest area gazebo gazebo student within campus build classroom support therapy staff staff continue arrive physical plant limit,,,,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0
243,Arecibo,LADISLAO MARTINEZ	71779,"1.Gas tanks are next to the pedestrian gate.
Underground comejen that affects several halls.
2.No there is a warehouse to store materials.
3.Pruning trees, branches reach the windows rats climb up and get into the halls of the second level.
4. Have a new access for emergency by the main road since there is only a single entrance.
5. Paint inside and outside the school, including doors and classrooms inside.
",gas tank next pedestrian gate underground comejen affect several hall warehouse store material prune tree branch reach window rat climb hall second level new access emergency main road since single entrance paint inside outside school include door classroom inside,,,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,1,1
244,Caguas,LAS MAREAS	52761,It requires evaluation of a building classified in yellow that has not been used since the earthquake and the short column arrangements have already been made.,require evaluation building classify yellow use since earthquake short column arrangement already make,,,,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0
245,Humacao,LEONICIO MELENDEZ	35493,"Disused court from Huracan Maria
Holes in the green areas 
Leak Repair 
Repair of Bars 
Painting and lighting in living rooms",disused court huracan maria hole green area leak repair repair bar paint light living room,,2.0,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0,0,1,1,0,0,0,0,0,0,0,0
246,Humacao,LIBERATA IRALDO (NUEVA)	32227,"School Court problems with the roof, school corridors leak problems and cracks. Short columns more than 150, needs paint throughout the school, fitration problems and pipes in bathrooms of the girls.",school court problem roof school corridor leak problem crack short column 0 need paint throughout school fitration problem pip bathroom girl,,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1,0,1,1,1,0,0,0,0,0,0,0
247,Ponce,LIBRADO NET	54247,That it be recertified in terms of safety in case of terromoto.,recertified term safety case terromoto,0.0,,4.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
248,Arecibo,LIBRE DE MUSICA	14316,"Excessive leaks from the ceiling and walls. Air conditioners do not work, replacement of units is needed. Drain maintenance is required. Plumbing problems in bathrooms. Problems with pigeon droppings Serious voltage problems. The school needs to be painted properly, it has a sad and dirty look that does not represent being a music school. The theatre (managed by the School of Fine Arts) is out of service due to alleged maintenance problems.",excessive leak ceiling wall air conditioner work replacement unit need drain maintenance require plumbing problem bathrooms problem pigeon droppings serious voltage problem school need paint properly sad dirty look represent music school theatre manage school fine art service due allege maintenance problem,,,,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0,1,1,1,0,1,0,0,1,0,0,1
249,Ponce,LILA MARIA MERCEDES MAYORAL	58511,"Up to the
At the moment I have no worries about the structural condition of the school",moment worry structural condition school,0.0,,,0.0,2.0,2.0,2.0,4.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
250,Arecibo,LINO PADRON RIVERA	71882,"The air conditioners of the theater of the campus, those of the library, the room of the servers, halls of commerce, of special education and the mind of the other units. The pumping room specifies one of the pumps that does not start. The tearing down of the trees to prevent the roofs from being covered. Water leaks through the roofs. The maintenance of the 350kw electric generator.",air conditioner theater campus library room server halls commerce special education mind unit pump room specifies pump start tear tree prevent roof covered water leak roof maintenance 0kw electric generator,,,4.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,0,1,0,1,1,0,0,1,0,0,0,0
251,Ponce,LLANOS DEL SUR	56093,"Bathrooms in unacceptable conditions 
Accumulation of water at the entrance of the school 
Pigeons in the living rooms 
Electrical power problems 
Parking lot falling into edges",bathroom unacceptable condition accumulation water entrance school pigeon live room electrical power problem park fall edge,,,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1
